Shipping Company,negative,neutral,positive
DHL,80.0,6.666666666666667,13.333333333333334
FedEx,75.86206896551724,6.896551724137931,17.24137931034483
UPS,76.66666666666667,6.666666666666667,16.666666666666664
USPS,86.66666666666667,0.0,13.333333333333334
